  1997 Jan- 6 to Jan-10, 
  2005 Apr-18 to Apr-22,7.06
  2005 Apr-25 to Apr-29,7.27
  2005 Apr-25 to Apr-29,7.08
  2005 Apr-25 to Apr-29,7.10
  2005 Apr-25 to Apr-29,6.67
  2005 Apr-25 to Apr-29,6.64
  2005 May- 2 to May- 6,6.50
  2005 May- 2 to May- 6,6.61
  2005 May- 2 to May- 6,6.49
  2005 May- 2 to May- 6,6.65
  2005 May- 2 to May- 6,6.67
  2005 May- 9 to May-13,6.56
  2005 May- 9 to May-13,6.67
  2005 May- 9 to May-13,6.63
  2005 May- 9 to May-13,6.62
  2005 May- 9 to May-13,6.47
  2005 May-16 to May-20,6.45
  2005 May-16 to May-20,6.41
  2005 May-16 to May-20,6.50
  2005 May-16 to May-20,6.39
  2005 May-16 to May-20,6.36
  2005 May-23 to May-27,6.33
  2005 May-23 to May-27,6.45
  2005 May-23 to May-27,6.33
  2005 May-23 to May-27,6.30
  2005 May-23 to May-27,6.22
  2005 May-30 to Jun- 3,
  2005 May-30 to Jun- 3,6.31
  2005 May-30 to Jun- 3,6.36
  2005 May-30 to Jun- 3,6.63
  2005 May-30 to Jun- 3,6.65
  2005 Jun- 6 to Jun-10,7.05
  2005 Jun- 6 to Jun-10,7.13
  2005 Jun- 6 to Jun-10,7.22
  2005 Jun- 6 to Jun-10,7.05
  2005 Jun- 6 to Jun-10,7.09
  2005 Jun-13 to Jun-17,7.08
  2005 Jun-13 to Jun-17,7.32
  2005 Jun-13 to Jun-17,7.39
  2005 Jun-13 to Jun-17,7.41
  2005 Jun-13 to Jun-17,7.61
  2005 Jun-20 to Jun-24,7.80
  2005 Jun-20 to Jun-24,7.46
  2005 Jun-20 to Jun-24,7.39
  2005 Jun-20 to Jun-24,7.51
  2005 Jun-20 to Jun-24,7.45
  2005 Jun-27 to Jul- 1,7.29
  2005 Jun-27 to Jul- 1,7.04
  2005 Jun-27 to Jul- 1,7.08
  2005 Jun-27 to Jul- 1,7.01
  2005 Jun-27 to Jul- 1,7.01
  2005 Jul- 4 to Jul- 8,
  2005 Jul- 4 to Jul- 8,7.38
  2005 Jul- 4 to Jul- 8,7.69
  2005 Jul- 4 to Jul- 8,7.62
  2005 Jul- 4 to Jul- 8,7.87
  2005 Jul-11 to Jul-15,7.35
  2005 Jul-11 to Jul-15,7.79
  2005 Jul-11 to Jul-15,7.78
  2005 Jul-11 to Jul-15,7.99
  2005 Jul-11 to Jul-15,8.02
  2005 Jul-18 to Jul-22,7.77
  2005 Jul-18 to Jul-22,7.70
  2005 Jul-18 to Jul-22,7.75
  2005 Jul-18 to Jul-22,7.64
  2005 Jul-18 to Jul-22,7.41
  2005 Jul-25 to Jul-29,7.38
  2005 Jul-25 to Jul-29,7.45
  2005 Jul-25 to Jul-29,7.52
  2005 Jul-25 to Jul-29,7.69
  2005 Jul-25 to Jul-29,7.76
  2005 Aug- 1 to Aug- 5,8.03
  2005 Aug- 1 to Aug- 5,8.38
  2005 Aug- 1 to Aug- 5,8.75
  2005 Aug- 1 to Aug- 5,8.55
  2005 Aug- 1 to Aug- 5,8.60
  2005 Aug- 8 to Aug-12,8.93
  2005 Aug- 8 to Aug-12,8.70
  2005 Aug- 8 to Aug-12,8.82
  2005 Aug- 8 to Aug-12,9.29
  2005 Aug- 8 to Aug-12,9.59
  2005 Aug-15 to Aug-19,9.53
  2005 Aug-15 to Aug-19,9.66
  2005 Aug-15 to Aug-19,9.99
  2005 Aug-15 to Aug-19,9.38
  2005 Aug-15 to Aug-19,9.09
  2005 Aug-22 to Aug-26,9.44
  2005 Aug-22 to Aug-26,9.96
  2005 Aug-22 to Aug-26,10.02
  2005 Aug-22 to Aug-26,9.77
  2005 Aug-22 to Aug-26,9.86
  2005 Aug-29 to Sep- 2,9.86
  2005 Aug-29 to Sep- 2,12.36
  2005 Aug-29 to Sep- 2,12.69
  2005 Aug-29 to Sep- 2,11.36
  2005 Aug-29 to Sep- 2,11.75
  2005 Sep- 5 to Sep- 9,
  2005 Sep- 5 to Sep- 9,11.56
  2005 Sep- 5 to Sep- 9,11.03
  2005 Sep- 5 to Sep- 9,10.92
  2005 Sep- 5 to Sep- 9,11.03
  2005 Sep-12 to Sep-16,10.68
  2005 Sep-12 to Sep-16,10.71
  2005 Sep-12 to Sep-16,10.80
  2005 Sep-12 to Sep-16,11.24
  2005 Sep-12 to Sep-16,11.25
  2005 Sep-19 to Sep-23,11.99
  2005 Sep-19 to Sep-23,12.76
  2005 Sep-19 to Sep-23,14.26
  2005 Sep-19 to Sep-23,14.84
  2005 Sep-19 to Sep-23,
  2005 Oct- 3 to Oct- 7,
  2005 Oct- 3 to Oct- 7,
  2005 Oct- 3 to Oct- 7,
  2005 Oct- 3 to Oct- 7,
  2005 Oct- 3 to Oct- 7,13.67
  2005 Oct-10 to Oct-14,13.29
  2005 Oct-10 to Oct-14,13.67
  2005 Oct-10 to Oct-14,13.77
  2005 Oct-10 to Oct-14,13.48
  2005 Oct-10 to Oct-14,12.80
  2005 Oct-17 to Oct-21,13.89
  2005 Oct-17 to Oct-21,13.41
  2005 Oct-17 to Oct-21,13.52
  2005 Oct-17 to Oct-21,13.24
  2005 Oct-17 to Oct-21,12.73
  2005 Oct-24 to Oct-28,12.95
  2005 Oct-24 to Oct-28,13.90
  2005 Oct-24 to Oct-28,14.68
  2005 Oct-24 to Oct-28,13.90
  2005 Oct-24 to Oct-28,13.10
  2005 Oct-31 to Nov- 4,12.18
  2005 Oct-31 to Nov- 4,10.80
  2005 Oct-31 to Nov- 4,10.85
  2005 Oct-31 to Nov- 4,10.79
  2005 Oct-31 to Nov- 4,9.67
  2005 Nov- 7 to Nov-11,8.77
  2005 Nov- 7 to Nov-11,9.15
  2005 Nov- 7 to Nov-11,9.31
  2005 Nov- 7 to Nov-11,9.66
  2005 Nov- 7 to Nov-11,9.20
  2005 Nov-14 to Nov-18,9.15
  2005 Nov-14 to Nov-18,9.21
  2005 Nov-14 to Nov-18,11.03
  2005 Nov-14 to Nov-18,11.92
  2005 Nov-14 to Nov-18,10.01
  2005 Nov-21 to Nov-25,10.48
  2005 Nov-21 to Nov-25,11.15
  2005 Nov-21 to Nov-25,11.02
  2005 Nov-21 to Nov-25,
  2005 Nov-21 to Nov-25,
  2005 Nov-28 to Dec- 2,11.01
  2005 Nov-28 to Dec- 2,11.17
  2005 Nov-28 to Dec- 2,11.73
  2005 Nov-28 to Dec- 2,12.58
  2005 Nov-28 to Dec- 2,12.95
  2005 Dec- 5 to Dec- 9,14.27
  2005 Dec- 5 to Dec- 9,13.57
  2005 Dec- 5 to Dec- 9,13.95
  2005 Dec- 5 to Dec- 9,14.25
  2005 Dec- 5 to Dec- 9,15.02
  2005 Dec-12 to Dec-16,14.82
  2005 Dec-12 to Dec-16,15.39
  2005 Dec-12 to Dec-16,14.81
  2005 Dec-12 to Dec-16,14.07
  2005 Dec-12 to Dec-16,13.36
  2005 Dec-19 to Dec-23,13.73
  2005 Dec-19 to Dec-23,13.79
  2005 Dec-19 to Dec-23,13.56
  2005 Dec-19 to Dec-23,13.03
  2005 Dec-19 to Dec-23,11.17
  2005 Dec-26 to Dec-30,
  2005 Dec-26 to Dec-30,10.22
  2005 Dec-26 to Dec-30,9.90
  2005 Dec-26 to Dec-30,10.07
  2005 Dec-26 to Dec-30,9.52
  2006 Jan- 2 to Jan- 6,
  2006 Jan- 2 to Jan- 6,9.90
  2006 Jan- 2 to Jan- 6,9.25
  2006 Jan- 2 to Jan- 6,9.24
  2006 Jan- 2 to Jan- 6,9.30
  2006 Jan- 9 to Jan-13,8.79
  2006 Jan- 9 to Jan-13,8.60
  2006 Jan- 9 to Jan-13,8.55
  2006 Jan- 9 to Jan-13,8.70
  2006 Jan- 9 to Jan-13,8.50
  2006 Jan-16 to Jan-20,
  2006 Jan-16 to Jan-20,8.82
  2006 Jan-16 to Jan-20,8.86
  2006 Jan-16 to Jan-20,8.21
  2006 Jan-16 to Jan-20,8.80
  2006 Jan-23 to Jan-27,8.29
  2006 Jan-23 to Jan-27,8.27
  2006 Jan-23 to Jan-27,8.50
  2006 Jan-23 to Jan-27,7.86
  2006 Jan-23 to Jan-27,8.19
  2006 Jan-30 to Feb- 3,8.36
  2006 Jan-30 to Feb- 3,8.73
  2006 Jan-30 to Feb- 3,8.71
  2006 Jan-30 to Feb- 3,8.01
  2006 Jan-30 to Feb- 3,8.01
  2006 Feb- 6 to Feb-10,8.24
  2006 Feb- 6 to Feb-10,7.74
  2006 Feb- 6 to Feb-10,7.88
  2006 Feb- 6 to Feb-10,7.55
  2006 Feb- 6 to Feb-10,7.57
  2006 Feb-13 to Feb-17,7.36
  2006 Feb-13 to Feb-17,7.03
  2006 Feb-13 to Feb-17,7.31
  2006 Feb-13 to Feb-17,7.16
  2006 Feb-13 to Feb-17,7.39
  2006 Feb-20 to Feb-24,
  2006 Feb-20 to Feb-24,7.40
  2006 Feb-20 to Feb-24,7.55
  2006 Feb-20 to Feb-24,7.23
  2006 Feb-20 to Feb-24,7.39
  2006 Feb-27 to Mar- 3,6.97
  2006 Feb-27 to Mar- 3,6.69
  2006 Feb-27 to Mar- 3,6.62
  2006 Feb-27 to Mar- 3,6.69
  2006 Feb-27 to Mar- 3,6.59
  2006 Mar- 6 to Mar-10,6.50
  2006 Mar- 6 to Mar-10,6.53
  2006 Mar- 6 to Mar-10,6.47
  2006 Mar- 6 to Mar-10,6.31
  2006 Mar- 6 to Mar-10,6.40
  2006 Mar-13 to Mar-17,6.77
  2006 Mar-13 to Mar-17,7.15
  2006 Mar-13 to Mar-17,7.10
  2006 Mar-13 to Mar-17,7.12
  2006 Mar-13 to Mar-17,7.17
  2006 Mar-20 to Mar-24,7.00
  2006 Mar-20 to Mar-24,6.83
  2006 Mar-20 to Mar-24,7.06
  2006 Mar-20 to Mar-24,7.16
  2006 Mar-20 to Mar-24,7.43
  2006 Mar-27 to Mar-31,7.05
  2006 Mar-27 to Mar-31,7.15
  2006 Mar-27 to Mar-31,7.16
  2006 Mar-27 to Mar-31,7.19
  2006 Mar-27 to Mar-31,6.98
  2006 Apr- 3 to Apr- 7,7.08
  2006 Apr- 3 to Apr- 7,7.04
  2006 Apr- 3 to Apr- 7,6.89
  2006 Apr- 3 to Apr- 7,7.06
  2006 Apr- 3 to Apr- 7,6.81
  2006 Apr-10 to Apr-14,6.83
  2006 Apr-10 to Apr-14,6.99
  2006 Apr-10 to Apr-14,6.78
  2006 Apr-10 to Apr-14,6.64
  2006 Apr-10 to Apr-14,
  2006 Apr-17 to Apr-21,7.22
  2006 Apr-17 to Apr-21,7.60
  2006 Apr-17 to Apr-21,7.72
  2006 Apr-17 to Apr-21,7.95
  2006 Apr-17 to Apr-21,7.65
  2006 Apr-24 to Apr-28,7.73
  2006 Apr-24 to Apr-28,7.37
  2006 Apr-24 to Apr-28,7.17
  2006 Apr-24 to Apr-28,6.94
  2006 Apr-24 to Apr-28,6.64
  2006 May- 1 to May- 5,6.53
  2006 May- 1 to May- 5,6.68
  2006 May- 1 to May- 5,6.56
  2006 May- 1 to May- 5,6.47
  2006 May- 1 to May- 5,6.80
  2006 May- 8 to May-12,6.54
  2006 May- 8 to May-12,6.55
  2006 May- 8 to May-12,6.50
  2006 May- 8 to May-12,6.80
  2006 May- 8 to May-12,6.35
  2006 May-15 to May-19,5.92
  2006 May-15 to May-19,5.99
  2006 May-15 to May-19,6.15
  2006 May-15 to May-19,5.79
  2006 May-15 to May-19,5.77
  2006 May-22 to May-26,5.91
  2006 May-22 to May-26,6.27
  2006 May-22 to May-26,6.01
  2006 May-22 to May-26,5.85
  2006 May-22 to May-26,5.78
  2006 May-29 to Jun- 2,
  2006 May-29 to Jun- 2,6.20
  2006 May-29 to Jun- 2,5.97
  2006 May-29 to Jun- 2,6.25
  2006 May-29 to Jun- 2,6.23
  2006 Jun- 5 to Jun- 9,6.40
  2006 Jun- 5 to Jun- 9,6.16
  2006 Jun- 5 to Jun- 9,5.82
  2006 Jun- 5 to Jun- 9,5.84
  2006 Jun- 5 to Jun- 9,6.10
  2006 Jun-12 to Jun-16,6.02
  2006 Jun-12 to Jun-16,5.95
  2006 Jun-12 to Jun-16,6.08
  2006 Jun-12 to Jun-16,6.43
  2006 Jun-12 to Jun-16,7.03
  2006 Jun-19 to Jun-23,6.71
  2006 Jun-19 to Jun-23,6.62
  2006 Jun-19 to Jun-23,6.50
  2006 Jun-19 to Jun-23,6.51
  2006 Jun-19 to Jun-23,6.14
  2006 Jun-26 to Jun-30,5.89
  2006 Jun-26 to Jun-30,5.97
  2006 Jun-26 to Jun-30,6.04
  2006 Jun-26 to Jun-30,6.09
  2006 Jun-26 to Jun-30,5.84
  2006 Jul- 3 to Jul- 7,
  2006 Jul- 3 to Jul- 7,
  2006 Jul- 3 to Jul- 7,5.70
  2006 Jul- 3 to Jul- 7,5.28
  2006 Jul- 3 to Jul- 7,5.18
  2006 Jul-10 to Jul-14,5.32
  2006 Jul-10 to Jul-14,5.51
  2006 Jul-10 to Jul-14,5.66
  2006 Jul-10 to Jul-14,5.92
  2006 Jul-10 to Jul-14,6.28
  2006 Jul-17 to Jul-21,6.27
  2006 Jul-17 to Jul-21,6.02
  2006 Jul-17 to Jul-21,5.89
  2006 Jul-17 to Jul-21,6.14
  2006 Jul-17 to Jul-21,5.90
  2006 Jul-24 to Jul-28,6.33
  2006 Jul-24 to Jul-28,6.78
  2006 Jul-24 to Jul-28,6.71
  2006 Jul-24 to Jul-28,7.03
  2006 Jul-24 to Jul-28,7.24
  2006 Jul-31 to Aug- 4,8.04
  2006 Jul-31 to Aug- 4,8.66
  2006 Jul-31 to Aug- 4,8.65
  2006 Jul-31 to Aug- 4,7.61
  2006 Jul-31 to Aug- 4,7.44
  2006 Aug- 7 to Aug-11,6.97
  2006 Aug- 7 to Aug-11,7.06
  2006 Aug- 7 to Aug-11,7.60
  2006 Aug- 7 to Aug-11,7.95
  2006 Aug- 7 to Aug-11,7.56
  2006 Aug-14 to Aug-18,6.89
  2006 Aug-14 to Aug-18,6.90
  2006 Aug-14 to Aug-18,7.01
  2006 Aug-14 to Aug-18,6.73
  2006 Aug-14 to Aug-18,6.66
  2006 Aug-21 to Aug-25,6.72
  2006 Aug-21 to Aug-25,6.86
  2006 Aug-21 to Aug-25,7.19
  2006 Aug-21 to Aug-25,7.22
  2006 Aug-21 to Aug-25,7.48
  2006 Aug-28 to Sep- 1,6.51
  2006 Aug-28 to Sep- 1,6.24
  2006 Aug-28 to Sep- 1,6.40
  2006 Aug-28 to Sep- 1,5.80
  2006 Aug-28 to Sep- 1,5.24
  2006 Sep- 4 to Sep- 8,
  2006 Sep- 4 to Sep- 8,5.45
  2006 Sep- 4 to Sep- 8,5.70
  2006 Sep- 4 to Sep- 8,5.64
  2006 Sep- 4 to Sep- 8,5.31
  2006 Sep-11 to Sep-15,5.29
  2006 Sep-11 to Sep-15,5.57
  2006 Sep-11 to Sep-15,5.40
  2006 Sep-11 to Sep-15,5.09
  2006 Sep-11 to Sep-15,4.40
  2006 Sep-18 to Sep-22,5.02
  2006 Sep-18 to Sep-22,4.99
  2006 Sep-18 to Sep-22,4.87
  2006 Sep-18 to Sep-22,4.65
  2006 Sep-18 to Sep-22,4.47
  2006 Sep-25 to Sep-29,4.31
  2006 Sep-25 to Sep-29,4.36
  2006 Sep-25 to Sep-29,4.35
  2006 Sep-25 to Sep-29,4.15
  2006 Sep-25 to Sep-29,3.66
  2006 Oct- 2 to Oct- 6,4.11
  2006 Oct- 2 to Oct- 6,4.01
  2006 Oct- 2 to Oct- 6,4.38
  2006 Oct- 2 to Oct- 6,4.69
  2006 Oct- 2 to Oct- 6,4.41
  2006 Oct- 9 to Oct-13,5.06
  2006 Oct- 9 to Oct-13,5.16
  2006 Oct- 9 to Oct-13,5.66
  2006 Oct- 9 to Oct-13,5.17
  2006 Oct- 9 to Oct-13,4.30
  2006 Oct-16 to Oct-20,5.13
  2006 Oct-16 to Oct-20,6.26
  2006 Oct-16 to Oct-20,6.07
  2006 Oct-16 to Oct-20,6.77
  2006 Oct-16 to Oct-20,6.88
  2006 Oct-23 to Oct-27,7.29
  2006 Oct-23 to Oct-27,7.13
  2006 Oct-23 to Oct-27,7.20
  2006 Oct-23 to Oct-27,7.91
  2006 Oct-23 to Oct-27,7.41
  2006 Oct-30 to Nov- 3,6.99
  2006 Oct-30 to Nov- 3,6.64
  2006 Oct-30 to Nov- 3,7.15
  2006 Oct-30 to Nov- 3,7.32
  2006 Oct-30 to Nov- 3,7.43
  2006 Nov- 6 to Nov-10,6.72
  2006 Nov- 6 to Nov-10,6.59
  2006 Nov- 6 to Nov-10,7.39
  2006 Nov- 6 to Nov-10,7.35
  2006 Nov- 6 to Nov-10,7.16
  2006 Nov-13 to Nov-17,7.26
  2006 Nov-13 to Nov-17,7.42
  2006 Nov-13 to Nov-17,7.45
  2006 Nov-13 to Nov-17,7.59
  2006 Nov-13 to Nov-17,7.23
  2006 Nov-20 to Nov-24,7.79
  2006 Nov-20 to Nov-24,7.57
  2006 Nov-20 to Nov-24,7.42
  2006 Nov-20 to Nov-24,
  2006 Nov-20 to Nov-24,
  2006 Nov-27 to Dec- 1,7.58
  2006 Nov-27 to Dec- 1,7.61
  2006 Nov-27 to Dec- 1,7.74
  2006 Nov-27 to Dec- 1,8.32
  2006 Nov-27 to Dec- 1,8.42
  2006 Dec- 4 to Dec- 8,7.84
  2006 Dec- 4 to Dec- 8,7.32
  2006 Dec- 4 to Dec- 8,7.32
  2006 Dec- 4 to Dec- 8,7.61
  2006 Dec- 4 to Dec- 8,7.45
  2006 Dec-11 to Dec-15,6.81
  2006 Dec-11 to Dec-15,6.93
  2006 Dec-11 to Dec-15,7.21
  2006 Dec-11 to Dec-15,7.26
  2006 Dec-11 to Dec-15,6.82
  2006 Dec-18 to Dec-22,6.62
  2006 Dec-18 to Dec-22,6.27
  2006 Dec-18 to Dec-22,6.43
  2006 Dec-18 to Dec-22,6.09
  2006 Dec-18 to Dec-22,5.88
  2006 Dec-25 to Dec-29,
  2006 Dec-25 to Dec-29,5.72
  2006 Dec-25 to Dec-29,5.54
  2006 Dec-25 to Dec-29,5.63
  2006 Dec-25 to Dec-29,5.50
  2007 Jan- 1 to Jan- 5,
  2007 Jan- 1 to Jan- 5,5.40
  2007 Jan- 1 to Jan- 5,5.47
  2007 Jan- 1 to Jan- 5,5.60
  2007 Jan- 1 to Jan- 5,5.52
  2007 Jan- 8 to Jan-12,6.02
  2007 Jan- 8 to Jan-12,6.15
  2007 Jan- 8 to Jan-12,6.42
  2007 Jan- 8 to Jan-12,6.09
  2007 Jan- 8 to Jan-12,5.97
  2007 Jan-15 to Jan-19,
  2007 Jan-15 to Jan-19,6.82
  2007 Jan-15 to Jan-19,6.57
  2007 Jan-15 to Jan-19,6.29
  2007 Jan-15 to Jan-19,6.40
  2007 Jan-22 to Jan-26,7.20
  2007 Jan-22 to Jan-26,7.53
  2007 Jan-22 to Jan-26,7.58
  2007 Jan-22 to Jan-26,7.18
  2007 Jan-22 to Jan-26,6.95
  2007 Jan-29 to Feb- 2,7.35
  2007 Jan-29 to Feb- 2,7.32
  2007 Jan-29 to Feb- 2,7.76
  2007 Jan-29 to Feb- 2,7.93
  2007 Jan-29 to Feb- 2,8.17
  2007 Feb- 5 to Feb- 9,9.14
  2007 Feb- 5 to Feb- 9,8.29
  2007 Feb- 5 to Feb- 9,7.90
  2007 Feb- 5 to Feb- 9,8.06
  2007 Feb- 5 to Feb- 9,8.16
  2007 Feb-12 to Feb-16,7.78
  2007 Feb-12 to Feb-16,8.09
  2007 Feb-12 to Feb-16,8.90
  2007 Feb-12 to Feb-16,8.91
  2007 Feb-12 to Feb-16,8.45
  2007 Feb-19 to Feb-23,
  2007 Feb-19 to Feb-23,7.34
  2007 Feb-19 to Feb-23,7.51
  2007 Feb-19 to Feb-23,7.47
  2007 Feb-19 to Feb-23,7.53
  2007 Feb-26 to Mar- 2,7.73
  2007 Feb-26 to Mar- 2,7.44
  2007 Feb-26 to Mar- 2,7.23
  2007 Feb-26 to Mar- 2,7.07
  2007 Feb-26 to Mar- 2,7.22
  2007 Mar- 5 to Mar- 9,7.36
  2007 Mar- 5 to Mar- 9,7.55
  2007 Mar- 5 to Mar- 9,7.50
  2007 Mar- 5 to Mar- 9,7.14
  2007 Mar- 5 to Mar- 9,7.05
  2007 Mar-12 to Mar-16,6.81
  2007 Mar-12 to Mar-16,6.78
  2007 Mar-12 to Mar-16,6.86
  2007 Mar-12 to Mar-16,7.02
  2007 Mar-12 to Mar-16,6.84
  2007 Mar-19 to Mar-23,6.70
  2007 Mar-19 to Mar-23,6.81
  2007 Mar-19 to Mar-23,6.82
  2007 Mar-19 to Mar-23,7.07
  2007 Mar-19 to Mar-23,7.16
  2007 Mar-26 to Mar-30,7.15
  2007 Mar-26 to Mar-30,7.15
  2007 Mar-26 to Mar-30,7.47
  2007 Mar-26 to Mar-30,7.34
  2007 Mar-26 to Mar-30,7.50
  2007 Apr- 2 to Apr- 6,7.62
  2007 Apr- 2 to Apr- 6,7.57
  2007 Apr- 2 to Apr- 6,7.46
  2007 Apr- 2 to Apr- 6,7.53
  2007 Apr- 2 to Apr- 6,
  2007 Apr- 9 to Apr-13,7.65
  2007 Apr- 9 to Apr-13,7.65
  2007 Apr- 9 to Apr-13,7.97
  2007 Apr- 9 to Apr-13,7.95
  2007 Apr- 9 to Apr-13,7.93
  2007 Apr-16 to Apr-20,7.66
  2007 Apr-16 to Apr-20,7.50
  2007 Apr-16 to Apr-20,7.54
  2007 Apr-16 to Apr-20,7.54
  2007 Apr-16 to Apr-20,7.32
  2007 Apr-23 to Apr-27,7.24
  2007 Apr-23 to Apr-27,7.57
  2007 Apr-23 to Apr-27,7.60
  2007 Apr-23 to Apr-27,7.56
  2007 Apr-23 to Apr-27,7.44
  2007 Apr-30 to May- 4,7.71
  2007 Apr-30 to May- 4,7.64
  2007 Apr-30 to May- 4,7.64
  2007 Apr-30 to May- 4,7.58
  2007 Apr-30 to May- 4,7.82
  2007 May- 7 to May-11,7.69
  2007 May- 7 to May-11,7.50
  2007 May- 7 to May-11,7.46
  2007 May- 7 to May-11,7.63
  2007 May- 7 to May-11,7.53
  2007 May-14 to May-18,7.85
  2007 May-14 to May-18,7.68
  2007 May-14 to May-18,7.62
  2007 May-14 to May-18,7.69
  2007 May-14 to May-18,7.87
  2007 May-21 to May-25,7.66
  2007 May-21 to May-25,7.60
  2007 May-21 to May-25,7.51
  2007 May-21 to May-25,7.56
  2007 May-21 to May-25,7.47
  2007 May-28 to Jun- 1,
  2007 May-28 to Jun- 1,7.51
  2007 May-28 to Jun- 1,7.71
  2007 May-28 to Jun- 1,7.80
  2007 May-28 to Jun- 1,7.57
  2007 Jun- 4 to Jun- 8,7.73
  2007 Jun- 4 to Jun- 8,7.83
  2007 Jun- 4 to Jun- 8,7.83
  2007 Jun- 4 to Jun- 8,7.89
  2007 Jun- 4 to Jun- 8,7.52
  2007 Jun-11 to Jun-15,7.42
  2007 Jun-11 to Jun-15,7.45
  2007 Jun-11 to Jun-15,7.60
  2007 Jun-11 to Jun-15,7.48
  2007 Jun-11 to Jun-15,7.58
  2007 Jun-18 to Jun-22,7.69
  2007 Jun-18 to Jun-22,7.46
  2007 Jun-18 to Jun-22,7.39
  2007 Jun-18 to Jun-22,7.24
  2007 Jun-18 to Jun-22,7.04
  2007 Jun-25 to Jun-29,6.77
  2007 Jun-25 to Jun-29,6.85
  2007 Jun-25 to Jun-29,6.74
  2007 Jun-25 to Jun-29,6.79
  2007 Jun-25 to Jun-29,6.40
  2007 Jul- 2 to Jul- 6,6.24
  2007 Jul- 2 to Jul- 6,6.37
  2007 Jul- 2 to Jul- 6,
  2007 Jul- 2 to Jul- 6,6.30
  2007 Jul- 2 to Jul- 6,6.15
  2007 Jul- 9 to Jul-13,6.39
  2007 Jul- 9 to Jul-13,6.44
  2007 Jul- 9 to Jul-13,6.66
  2007 Jul- 9 to Jul-13,6.26
  2007 Jul- 9 to Jul-13,6.27
  2007 Jul-16 to Jul-20,6.32
  2007 Jul-16 to Jul-20,6.34
  2007 Jul-16 to Jul-20,6.23
  2007 Jul-16 to Jul-20,6.50
  2007 Jul-16 to Jul-20,6.46
  2007 Jul-23 to Jul-27,6.00
  2007 Jul-23 to Jul-27,5.66
  2007 Jul-23 to Jul-27,5.56
  2007 Jul-23 to Jul-27,5.83
  2007 Jul-23 to Jul-27,5.77
  2007 Jul-30 to Aug- 3,6.31
  2007 Jul-30 to Aug- 3,6.53
  2007 Jul-30 to Aug- 3,6.19
  2007 Jul-30 to Aug- 3,6.34
  2007 Jul-30 to Aug- 3,6.11
  2007 Aug- 6 to Aug-10,6.10
  2007 Aug- 6 to Aug-10,6.38
  2007 Aug- 6 to Aug-10,6.24
  2007 Aug- 6 to Aug-10,6.45
  2007 Aug- 6 to Aug-10,6.57
  2007 Aug-13 to Aug-17,7.15
  2007 Aug-13 to Aug-17,6.86
  2007 Aug-13 to Aug-17,7.30
  2007 Aug-13 to Aug-17,6.96
  2007 Aug-13 to Aug-17,7.14
  2007 Aug-20 to Aug-24,6.47
  2007 Aug-20 to Aug-24,5.92
  2007 Aug-20 to Aug-24,5.84
  2007 Aug-20 to Aug-24,5.73
  2007 Aug-20 to Aug-24,5.69
  2007 Aug-27 to Aug-31,5.34
  2007 Aug-27 to Aug-31,5.56
  2007 Aug-27 to Aug-31,5.64
  2007 Aug-27 to Aug-31,5.54
  2007 Aug-27 to Aug-31,5.49
  2007 Sep- 3 to Sep- 7,
  2007 Sep- 3 to Sep- 7,5.30
  2007 Sep- 3 to Sep- 7,5.80
  2007 Sep- 3 to Sep- 7,6.02
  2007 Sep- 3 to Sep- 7,5.53
  2007 Sep-10 to Sep-14,5.56
  2007 Sep-10 to Sep-14,5.98
  2007 Sep-10 to Sep-14,6.13
  2007 Sep-10 to Sep-14,6.27
  2007 Sep-10 to Sep-14,6.23
  2007 Sep-17 to Sep-21,6.38
  2007 Sep-17 to Sep-21,6.42
  2007 Sep-17 to Sep-21,6.25
  2007 Sep-17 to Sep-21,6.02
  2007 Sep-17 to Sep-21,5.96
  2007 Sep-24 to Sep-28,6.12
  2007 Sep-24 to Sep-28,6.54
  2007 Sep-24 to Sep-28,6.47
  2007 Sep-24 to Sep-28,6.38
  2007 Sep-24 to Sep-28,6.15
  2007 Oct- 1 to Oct- 5,6.07
  2007 Oct- 1 to Oct- 5,6.55
  2007 Oct- 1 to Oct- 5,6.96
  2007 Oct- 1 to Oct- 5,6.91
  2007 Oct- 1 to Oct- 5,6.77
  2007 Oct- 8 to Oct-12,6.69
  2007 Oct- 8 to Oct-12,6.63
  2007 Oct- 8 to Oct-12,6.79
  2007 Oct- 8 to Oct-12,6.85
  2007 Oct- 8 to Oct-12,6.46
  2007 Oct-15 to Oct-19,7.09
  2007 Oct-15 to Oct-19,7.29
  2007 Oct-15 to Oct-19,7.12
  2007 Oct-15 to Oct-19,7.11
  2007 Oct-15 to Oct-19,6.91
  2007 Oct-22 to Oct-26,6.63
  2007 Oct-22 to Oct-26,6.30
  2007 Oct-22 to Oct-26,6.11
  2007 Oct-22 to Oct-26,6.49
  2007 Oct-22 to Oct-26,6.43
  2007 Oct-29 to Nov- 2,6.66
  2007 Oct-29 to Nov- 2,6.99
  2007 Oct-29 to Nov- 2,7.28
  2007 Oct-29 to Nov- 2,7.09
  2007 Oct-29 to Nov- 2,6.63
  2007 Nov- 5 to Nov- 9,6.71
  2007 Nov- 5 to Nov- 9,7.20
  2007 Nov- 5 to Nov- 9,7.42
  2007 Nov- 5 to Nov- 9,6.81
  2007 Nov- 5 to Nov- 9,6.59
  2007 Nov-12 to Nov-16,6.83
